epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.77259,3.03884,5.96992,0.93786,0.41888,0.23077,0.20985,0.06842,2.7865,4.03809,0.87695,0.0001,0.0001,0.0001
2,7.1946,3.10312,2.64049,0.91974,0.66656,0.46133,0.46654,0.15917,2.07239,4.72545,0.83602,0.000213777,0.000213777,0.000213777
3,10.5557,2.66013,1.52174,0.89553,0.76002,0.49231,0.58912,0.21484,2.31489,2.28226,0.82758,0.000320766,0.000320766,0.000320766
4,14.3078,2.12872,1.08359,0.7244,0.83997,0.29231,0.38846,0.13008,2.68828,1.95032,0.80734,0.000420966,0.000420966,0.000420966
5,17.936,2.26763,1.07347,0.70775,0.86876,0.70769,0.78221,0.19949,2.76578,3.57679,0.83856,0.000514377,0.000514377,0.000514377
6,20.2043,2.44835,0.98176,0.86007,0.79984,0.70769,0.7936,0.23817,2.54988,2.27664,0.8275,0.000601,0.000601,0.000601
7,22.3472,2.39442,0.95812,0.85181,0.68306,0.58462,0.63625,0.20516,2.4898,1.71409,0.81556,0.000680834,0.000680834,0.000680834
8,24.3542,2.49343,1.13728,0.8262,0.68664,0.70769,0.67012,0.17473,2.55464,2.6182,0.83748,0.00075388,0.00075388,0.00075388
9,26.9212,2.57052,1.05584,0.7994,0.67695,0.56923,0.62423,0.23973,2.02074,1.32834,0.80519,0.000820137,0.000820137,0.000820137
10,28.9861,2.49232,1.0308,0.79283,0.84361,0.74695,0.81239,0.25818,2.3106,1.72417,0.82475,0.000879606,0.000879606,0.000879606
11,31.0243,2.39064,0.95826,0.79742,0.79236,0.83077,0.77598,0.2151,2.52632,2.4963,0.82392,0.000932286,0.000932286,0.000932286
12,32.9747,2.34174,1.02404,0.80412,0.74422,0.78462,0.73687,0.25189,2.2907,3.01746,0.80428,0.000978177,0.000978177,0.000978177
13,35.0046,1.9822,0.90296,0.66961,0.81378,0.80682,0.85985,0.24233,2.45025,2.47394,0.79883,0.00101728,0.00101728,0.00101728
14,37.0279,2.05247,0.78605,0.79945,0.86051,0.8542,0.82076,0.28993,2.30579,1.89494,0.79304,0.00104959,0.00104959,0.00104959
15,39.0413,2.1553,0.80162,0.81303,0.86579,0.79403,0.82679,0.30058,2.33544,1.51076,0.79645,0.00107512,0.00107512,0.00107512
16,41.4138,2.44946,1.0538,0.79146,0.88535,0.83167,0.8381,0.27153,2.4382,1.68657,0.83484,0.00109386,0.00109386,0.00109386
17,43.3236,2.1945,0.80715,0.82713,0.8677,0.80727,0.82893,0.3234,2.26449,1.36771,0.8172,0.00109486,0.00109486,0.00109486
18,45.3523,2.06259,0.79469,0.80821,0.88132,0.68555,0.83303,0.31077,2.13008,0.9874,0.80404,0.00103829,0.00103829,0.00103829
19,47.3291,2.49277,0.95747,0.802,0.82839,0.69231,0.80468,0.25851,2.22465,1.03714,0.80965,0.000981714,0.000981714,0.000981714
20,49.6971,2.02945,0.96968,0.68215,0.83447,0.75385,0.83915,0.31135,2.05147,1.04659,0.7881,0.000925143,0.000925143,0.000925143
21,51.6839,2.06778,0.7503,0.79314,0.88567,0.71514,0.9011,0.3588,1.91138,0.88582,0.77642,0.000868571,0.000868571,0.000868571
22,54.5145,1.94976,0.71623,0.8119,0.87177,0.62761,0.78917,0.39071,1.74079,0.77177,0.77248,0.000812,0.000812,0.000812
23,56.652,1.66134,0.79325,0.66809,0.8808,0.68217,0.84438,0.4175,1.72708,0.76967,0.77377,0.000755429,0.000755429,0.000755429
24,58.773,2.35291,0.81478,0.77842,0.85963,0.65957,0.82572,0.42319,1.6198,0.83292,0.77001,0.000698857,0.000698857,0.000698857
25,60.8155,2.17382,0.90498,0.76589,0.87481,0.64505,0.85818,0.43609,1.50848,0.82423,0.76691,0.000642286,0.000642286,0.000642286
26,63.3948,2.1704,0.80728,0.80056,0.80667,0.47692,0.78724,0.4112,1.58214,0.92338,0.77031,0.000585714,0.000585714,0.000585714
27,66.8223,1.83228,0.74346,0.75738,0.78403,0.44615,0.75426,0.40367,1.6208,0.9409,0.768,0.000529143,0.000529143,0.000529143
28,70.4115,1.9056,0.69476,0.83632,0.82052,0.56274,0.80672,0.42818,1.54027,0.76697,0.76695,0.000472571,0.000472571,0.000472571
29,73.896,1.69502,0.68504,0.80242,0.82875,0.5957,0.83876,0.43504,1.4695,0.75121,0.76625,0.000416,0.000416,0.000416
30,75.8925,1.76107,0.71421,0.755,0.83748,0.63426,0.83265,0.43171,1.57592,0.80158,0.76422,0.000359429,0.000359429,0.000359429
31,77.8347,1.76551,0.68236,0.7927,0.83547,0.61538,0.83496,0.4423,1.56988,0.78953,0.76335,0.000302857,0.000302857,0.000302857
32,80.6076,1.62322,0.58593,0.81544,0.86826,0.6,0.84807,0.46436,1.53316,0.77645,0.76209,0.000246286,0.000246286,0.000246286
33,82.6198,1.74654,0.83979,0.78792,0.88637,0.55385,0.83981,0.46007,1.53347,0.79447,0.76175,0.000189714,0.000189714,0.000189714
34,84.6483,1.59865,0.59454,0.73588,0.89396,0.51886,0.82791,0.486,1.44497,0.8037,0.75978,0.000133143,0.000133143,0.000133143
35,86.6572,1.52784,0.61648,0.76829,0.8938,0.51803,0.82202,0.48715,1.44183,0.80628,0.75972,7.65714e-05,7.65714e-05,7.65714e-05
