epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.48184,3.03884,5.96992,0.93786,0.41888,0.23077,0.20985,0.06842,2.7865,4.03809,0.87695,0.0001,0.0001,0.0001
2,4.91151,3.102,2.6425,0.91956,0.6758,0.47692,0.46661,0.15623,2.06916,4.87375,0.83663,0.000211288,0.000211288,0.000211288
3,7.1654,2.62825,1.53072,0.89589,0.62026,0.52308,0.56604,0.21127,2.30727,2.71587,0.8174,0.000313072,0.000313072,0.000313072
4,9.33967,2.01395,1.04064,0.72471,0.77645,0.27692,0.35725,0.11272,2.6315,1.87445,0.81112,0.000405352,0.000405352,0.000405352
5,11.7739,2.23673,1.07902,0.71187,0.7405,0.6,0.63788,0.16871,2.82172,2.5787,0.84698,0.000488128,0.000488128,0.000488128
6,13.8567,2.52841,0.95717,0.85874,0.81982,0.56923,0.71562,0.2167,2.73888,1.95863,0.83115,0.0005614,0.0005614,0.0005614
7,16.5202,2.51892,0.97806,0.85538,0.91415,0.65537,0.80904,0.30952,2.24112,1.88312,0.80073,0.000625168,0.000625168,0.000625168
8,20.3968,2.42121,1.04371,0.82007,0.74152,0.75385,0.76328,0.20073,2.52297,2.3854,0.80142,0.000679432,0.000679432,0.000679432
9,22.6968,2.65511,1.08799,0.80932,0.78669,0.56923,0.63422,0.18962,2.5569,1.52121,0.81959,0.000724192,0.000724192,0.000724192
10,24.7835,2.52262,1.00764,0.80617,0.75065,0.69474,0.78256,0.29037,2.39246,1.34411,0.80529,0.000759448,0.000759448,0.000759448
11,26.8355,2.3845,0.87963,0.80155,0.82925,0.73846,0.83385,0.28666,2.3943,1.6734,0.80279,0.0007852,0.0007852,0.0007852
12,28.8954,2.17109,0.80905,0.79338,0.86265,0.75385,0.80631,0.2491,2.38819,2.83931,0.82233,0.000801448,0.000801448,0.000801448
13,30.9908,1.60237,0.90093,0.67469,0.82773,0.81315,0.82817,0.23526,2.41977,2.01635,0.82334,0.000808192,0.000808192,0.000808192
14,33.3244,1.79315,0.76964,0.80383,0.76694,0.70769,0.70113,0.18915,2.46693,2.49984,0.82912,0.000805432,0.000805432,0.000805432
15,35.6859,1.99708,0.75086,0.82516,0.76864,0.70769,0.71403,0.19995,2.42279,1.90207,0.82093,0.000793168,0.000793168,0.000793168
16,37.7607,1.62484,0.70451,0.6631,0.85074,0.56923,0.7767,0.24769,2.28934,1.06954,0.81515,0.0007714,0.0007714,0.0007714
17,39.7388,1.87064,0.80327,0.7126,0.86667,0.50011,0.74057,0.25261,2.25438,1.10116,0.8084,0.0007328,0.0007328,0.0007328
18,41.7787,1.77717,0.75426,0.80186,0.88962,0.62007,0.77632,0.29737,2.19988,1.10746,0.7932,0.0006536,0.0006536,0.0006536
19,43.7664,1.48179,0.72962,0.6759,0.89448,0.65212,0.78243,0.33613,2.0156,1.11273,0.78544,0.0005744,0.0005744,0.0005744
20,46.3824,1.7216,0.75391,0.74842,0.91154,0.63418,0.84604,0.38539,1.76675,0.99043,0.77255,0.0004952,0.0004952,0.0004952
21,48.4315,1.41953,0.54361,0.66143,0.94847,0.56643,0.83252,0.3876,1.72604,0.97058,0.76631,0.000416,0.000416,0.000416
22,50.5679,1.42217,0.61007,0.66019,0.94837,0.56527,0.85107,0.40947,1.64201,0.892,0.76427,0.0003368,0.0003368,0.0003368
23,52.9535,1.43472,0.66401,0.76815,0.95433,0.64308,0.88454,0.41626,1.66223,0.87005,0.76611,0.0002576,0.0002576,0.0002576
24,55.0918,1.655,0.66645,0.74808,0.92507,0.67692,0.8864,0.42217,1.64407,0.87104,0.76473,0.0001784,0.0001784,0.0001784
25,57.1676,1.40526,0.5827,0.76023,0.92229,0.67692,0.87599,0.43752,1.61119,0.87409,0.76373,9.92e-05,9.92e-05,9.92e-05
