epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6326,2.1592,2.76375,0.93899,0.68367,0.60448,0.62755,0.26407,1.84397,2.07362,0.85338,0.0002,0.0002,0.0002
2,24.2265,1.60924,0.93537,0.85003,0.75307,0.91035,0.83092,0.35727,1.59959,1.79366,0.82548,0.000403368,0.000403368,0.000403368
3,35.7695,1.48763,0.75474,0.84335,0.95077,0.89552,0.95412,0.43487,1.5128,1.23504,0.81919,0.000589312,0.000589312,0.000589312
4,47.5602,1.50413,0.73574,0.82873,0.95212,0.89038,0.95777,0.47065,1.62935,1.0715,0.83329,0.000757832,0.000757832,0.000757832
5,60.3152,1.48468,0.70735,0.82603,0.88617,0.89552,0.92996,0.49556,1.43215,1.26026,0.81953,0.000908928,0.000908928,0.000908928
6,72.2778,1.47124,0.65359,0.83573,0.97366,0.8806,0.96586,0.62643,1.23711,0.94217,0.79885,0.0010426,0.0010426,0.0010426
7,83.9999,1.37371,0.63172,0.81736,0.98317,0.87196,0.96141,0.56983,1.34953,0.76932,0.81107,0.00115885,0.00115885,0.00115885
8,96.138,1.39056,0.61857,0.82691,0.9526,0.96269,0.98569,0.56621,1.43324,0.80099,0.81424,0.00125767,0.00125767,0.00125767
9,108.868,1.46413,0.63551,0.82511,0.98098,0.89552,0.97933,0.47687,1.70911,0.73881,0.83049,0.00133907,0.00133907,0.00133907
10,121.72,1.48246,0.63286,0.81433,0.94959,0.89552,0.95858,0.58218,1.3392,0.69,0.80492,0.0012872,0.0012872,0.0012872
11,133.13,1.3796,0.59843,0.82411,0.93903,0.91951,0.96846,0.60321,1.19959,0.54754,0.79865,0.001208,0.001208,0.001208
12,145.031,1.31706,0.5971,0.8159,0.98317,0.87214,0.96792,0.52524,1.59312,0.61538,0.82419,0.0011288,0.0011288,0.0011288
13,158.28,1.27279,0.5632,0.81667,0.93077,0.92537,0.9785,0.59946,1.29679,0.59108,0.80376,0.0010496,0.0010496,0.0010496
14,171.239,1.2891,0.58007,0.80165,0.94299,0.9403,0.98023,0.61472,1.2035,0.52964,0.80582,0.0009704,0.0009704,0.0009704
15,183.226,1.27442,0.55647,0.81389,0.96167,0.93616,0.97703,0.63381,1.2163,0.50453,0.80126,0.0008912,0.0008912,0.0008912
16,195.267,1.20439,0.57074,0.81172,0.96129,0.92666,0.9718,0.60252,1.29932,0.50256,0.81036,0.000812,0.000812,0.000812
17,207.638,1.16122,0.51597,0.80403,0.96845,0.91791,0.96687,0.59575,1.28331,0.52811,0.80592,0.0007328,0.0007328,0.0007328
18,220.612,1.19889,0.52397,0.79736,0.9767,0.93829,0.97262,0.62159,1.22001,0.51029,0.80209,0.0006536,0.0006536,0.0006536
19,231.878,1.1438,0.52528,0.79886,0.96513,0.93284,0.96791,0.6165,1.2173,0.50485,0.8005,0.0005744,0.0005744,0.0005744
20,243.278,1.07727,0.50409,0.80294,0.95916,0.9403,0.9749,0.66762,1.07861,0.52257,0.78974,0.0004952,0.0004952,0.0004952
21,255.854,1.13719,0.51301,0.79788,0.98414,0.92644,0.97518,0.63724,1.18169,0.50407,0.80121,0.000416,0.000416,0.000416
22,268.396,1.04549,0.49165,0.8176,0.98423,0.93182,0.97991,0.65545,1.09983,0.47142,0.7983,0.0003368,0.0003368,0.0003368
23,280.458,1.04126,0.47294,0.79483,0.96217,0.9491,0.98229,0.65564,1.12462,0.48939,0.79728,0.0002576,0.0002576,0.0002576
24,294.445,1.04344,0.48121,0.80869,0.96796,0.9403,0.98199,0.65576,1.10097,0.48524,0.79492,0.0001784,0.0001784,0.0001784
25,306.751,1.03725,0.48192,0.80238,0.98424,0.93215,0.98161,0.65645,1.09365,0.4666,0.79605,9.92e-05,9.92e-05,9.92e-05
