epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2129,1.87159,2.05258,1.02787,0.90164,0.81849,0.8898,0.47415,1.49166,1.17599,0.91001,0.0004,0.0004,0.0004
2,84.0075,1.3274,0.73926,0.88418,0.97954,0.88571,0.9467,0.53467,1.3263,1.21308,0.87709,0.000787528,0.000787528,0.000787528
3,126.579,1.34184,0.72423,0.8895,0.95793,0.96429,0.9784,0.58736,1.21597,0.90148,0.86354,0.00114179,0.00114179,0.00114179
4,168.712,1.24925,0.65434,0.87692,0.84471,0.9131,0.93164,0.50638,1.38602,0.77406,0.89757,0.00146279,0.00146279,0.00146279
5,210.324,1.28449,0.63551,0.87456,0.95788,0.875,0.95844,0.62905,1.23358,0.64245,0.87438,0.0016832,0.0016832,0.0016832
6,252.153,1.2914,0.61702,0.88324,0.93928,0.95,0.9655,0.58109,1.25091,0.64959,0.86704,0.001604,0.001604,0.001604
7,294.018,1.22721,0.61179,0.87475,0.96154,0.93214,0.96762,0.6269,1.11689,0.59397,0.84592,0.0015248,0.0015248,0.0015248
8,335.317,1.19723,0.57945,0.87179,0.98888,0.95302,0.9827,0.63459,1.24889,0.57227,0.87823,0.0014456,0.0014456,0.0014456
9,376.948,1.19903,0.5678,0.87674,0.97753,0.93209,0.97753,0.63615,1.13015,0.56435,0.84794,0.0013664,0.0013664,0.0013664
10,418.359,1.18604,0.57998,0.86917,0.98327,0.95,0.98504,0.66637,1.18325,0.56909,0.85654,0.0012872,0.0012872,0.0012872
11,466.818,1.15574,0.56102,0.85739,0.98112,0.99286,0.99413,0.70931,1.03815,0.5521,0.83057,0.001208,0.001208,0.001208
12,522.046,1.07983,0.53929,0.85204,0.98458,0.99643,0.99398,0.71211,1.07028,0.52277,0.84091,0.0011288,0.0011288,0.0011288
13,563.123,1.0673,0.52185,0.84812,0.97443,0.99643,0.99428,0.6904,1.09846,0.50132,0.84549,0.0010496,0.0010496,0.0010496
14,604.378,1.09122,0.5097,0.85928,0.98936,0.99623,0.99493,0.70336,1.02426,0.46313,0.8325,0.0009704,0.0009704,0.0009704
15,646.215,1.06035,0.49605,0.84575,0.99275,0.99286,0.99486,0.71215,1.05205,0.47781,0.83838,0.0008912,0.0008912,0.0008912
16,687.165,1.06217,0.49807,0.85095,0.98768,0.98929,0.99417,0.70063,1.0802,0.48479,0.83584,0.000812,0.000812,0.000812
17,727.72,1.01369,0.46989,0.83558,0.9851,0.98929,0.99409,0.70453,1.05142,0.47976,0.83459,0.0007328,0.0007328,0.0007328
18,769.235,1.01669,0.47053,0.8511,0.99182,0.98929,0.99383,0.69304,1.09084,0.48907,0.84034,0.0006536,0.0006536,0.0006536
19,809.815,1.01644,0.46889,0.84561,0.99584,0.99286,0.99482,0.73261,0.97851,0.45988,0.81817,0.0005744,0.0005744,0.0005744
20,851.172,0.97995,0.4554,0.83791,0.97861,0.98024,0.99333,0.74466,0.95877,0.44663,0.81976,0.0004952,0.0004952,0.0004952
21,892.224,1.00746,0.45483,0.84318,0.98602,0.99643,0.99408,0.73543,0.9745,0.43849,0.82507,0.000416,0.000416,0.000416
22,933.842,0.9673,0.44027,0.8391,0.9884,0.99643,0.99443,0.74482,0.94096,0.43249,0.8177,0.0003368,0.0003368,0.0003368
23,975.398,0.92627,0.42228,0.83259,0.99161,0.99643,0.9946,0.73726,0.96491,0.41629,0.82099,0.0002576,0.0002576,0.0002576
24,1016.96,0.95219,0.42101,0.84025,0.98861,0.99643,0.99471,0.75175,0.92831,0.40808,0.81867,0.0001784,0.0001784,0.0001784
25,1059.09,0.92827,0.4076,0.83407,0.98854,0.99643,0.99467,0.75023,0.93375,0.4052,0.81844,9.92e-05,9.92e-05,9.92e-05
