epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8011,2.1592,2.76375,0.93899,0.68367,0.60448,0.62755,0.26407,1.84397,2.07362,0.85338,0.0002,0.0002,0.0002
2,43.222,1.61136,0.93571,0.85012,0.76303,0.88806,0.82259,0.35238,1.60793,1.83005,0.82585,0.00040812,0.00040812,0.00040812
3,63.6282,1.48978,0.75002,0.84429,0.96781,0.8975,0.9574,0.43792,1.49044,1.26519,0.82195,0.000603794,0.000603794,0.000603794
4,82.7428,1.50411,0.71495,0.82782,0.97182,0.8806,0.96628,0.47754,1.656,1.33698,0.83394,0.000787023,0.000787023,0.000787023
5,103.26,1.54772,0.7205,0.82898,0.93784,0.89552,0.96607,0.5092,1.45179,1.25331,0.82123,0.000957806,0.000957806,0.000957806
6,122.369,1.52486,0.66703,0.83841,0.98022,0.88806,0.9674,0.59215,1.27746,1.00713,0.80203,0.00111614,0.00111614,0.00111614
7,142.007,1.40406,0.6521,0.81917,0.99144,0.86429,0.94978,0.56062,1.34984,0.77511,0.81581,0.00126203,0.00126203,0.00126203
8,162.069,1.41068,0.63412,0.82686,0.87521,0.91045,0.946,0.5321,1.4774,0.75269,0.8131,0.00139548,0.00139548,0.00139548
9,180.51,1.38866,0.61773,0.81756,0.89854,0.91791,0.97511,0.53199,1.44127,0.68121,0.81071,0.00151648,0.00151648,0.00151648
10,199.438,1.40415,0.62401,0.81026,0.97326,0.88806,0.97094,0.57872,1.33306,0.58988,0.81029,0.00149086,0.00149086,0.00149086
11,217.252,1.40527,0.59594,0.82774,0.97825,0.8806,0.97517,0.66283,1.19153,0.50409,0.79991,0.00143429,0.00143429,0.00143429
12,235.842,1.39853,0.59077,0.82091,0.95336,0.92537,0.97294,0.47685,1.74067,0.65031,0.83695,0.00137771,0.00137771,0.00137771
13,254.9,1.33194,0.58813,0.81922,0.96105,0.9403,0.98148,0.63734,1.2301,0.63711,0.79745,0.00132114,0.00132114,0.00132114
14,273.893,1.37779,0.60856,0.80385,0.99542,0.86567,0.96803,0.5002,1.46162,0.61796,0.81942,0.00126457,0.00126457,0.00126457
15,293.415,1.40255,0.6074,0.81966,1,0.8782,0.96246,0.61906,1.22753,0.68167,0.80483,0.001208,0.001208,0.001208
16,311.21,1.35283,0.57301,0.81859,0.976,0.91036,0.96599,0.50896,1.48005,0.60155,0.81904,0.00115143,0.00115143,0.00115143
17,329.881,1.34495,0.55933,0.82286,0.97331,0.93284,0.97124,0.63726,1.19327,0.52692,0.80193,0.00109486,0.00109486,0.00109486
18,348.604,1.3081,0.56201,0.80918,0.98358,0.89392,0.95911,0.52174,1.38349,0.56283,0.812,0.00103829,0.00103829,0.00103829
19,367.823,1.16468,0.51228,0.80589,0.95802,0.94776,0.98008,0.65374,1.14452,0.51134,0.80414,0.000981714,0.000981714,0.000981714
20,386.863,1.15779,0.50358,0.80418,0.96485,0.9403,0.97208,0.62,1.20041,0.51002,0.80443,0.000925143,0.000925143,0.000925143
21,405.985,1.17528,0.52431,0.82155,0.96479,0.9403,0.97442,0.64089,1.16565,0.52621,0.79804,0.000868571,0.000868571,0.000868571
22,424.381,1.15548,0.52425,0.82056,0.96036,0.9403,0.97226,0.63877,1.12817,0.48385,0.79978,0.000812,0.000812,0.000812
23,442.974,1.16457,0.51118,0.80349,0.96938,0.94517,0.97901,0.65633,1.14117,0.47901,0.80022,0.000755429,0.000755429,0.000755429
24,461.954,1.13827,0.53555,0.80642,0.98307,0.9403,0.97963,0.63925,1.1822,0.47838,0.79995,0.000698857,0.000698857,0.000698857
25,480.645,1.18436,0.53395,0.82173,0.98235,0.9403,0.98192,0.6254,1.23966,0.4776,0.80334,0.000642286,0.000642286,0.000642286
26,499.778,1.12335,0.52866,0.81941,0.96059,0.9403,0.97854,0.63791,1.20621,0.5481,0.79731,0.000585714,0.000585714,0.000585714
27,518.421,1.12811,0.56134,0.80806,0.96786,0.94776,0.98489,0.66939,1.19735,0.52277,0.79697,0.000529143,0.000529143,0.000529143
28,537.151,1.13044,0.5349,0.80126,0.96765,0.9403,0.98125,0.64284,1.16012,0.47543,0.79517,0.000472571,0.000472571,0.000472571
29,556.093,1.11539,0.48362,0.80648,0.96932,0.94314,0.98546,0.65779,1.09167,0.44099,0.79259,0.000416,0.000416,0.000416
30,575.234,1.0399,0.47335,0.80398,0.9617,0.93704,0.9858,0.67751,1.10246,0.46997,0.79274,0.000359429,0.000359429,0.000359429
31,594.276,1.06946,0.47362,0.79791,0.97618,0.9403,0.98622,0.61916,1.25089,0.51694,0.79822,0.000302857,0.000302857,0.000302857
32,613.184,1.0691,0.49343,0.79916,0.96943,0.94652,0.98545,0.67023,1.0811,0.46475,0.79294,0.000246286,0.000246286,0.000246286
33,631.652,1.0185,0.45816,0.80871,0.96937,0.94457,0.98163,0.67267,1.07897,0.4659,0.79577,0.000189714,0.000189714,0.000189714
34,650.392,1.07179,0.50588,0.80572,0.96877,0.94776,0.98335,0.6809,1.08637,0.45671,0.79563,0.000133143,0.000133143,0.000133143
35,669.09,1.00597,0.44819,0.80111,0.96957,0.95114,0.98422,0.67989,1.05663,0.4505,0.79261,7.65714e-05,7.65714e-05,7.65714e-05
