epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.50121,2.92865,5.8081,0.93529,0.2191,0.15385,0.11498,0.03784,3.13404,4.66279,0.85913,0.0001,0.0001,0.0001
2,6.82,3.32353,2.9491,0.9493,0.73728,0.38866,0.40645,0.13659,2.51467,4.66038,0.82005,0.000215644,0.000215644,0.000215644
3,10.0119,2.60528,1.31853,0.9006,0.43944,0.23077,0.25959,0.08335,2.66015,4.21245,0.84242,0.000326536,0.000326536,0.000326536
4,12.8628,2.24354,1.19969,0.74645,0.54928,0.31881,0.31841,0.06724,3.48483,5.01605,0.83911,0.000432676,0.000432676,0.000432676
5,15.5103,2.23364,1.14218,0.71013,0.70258,0.6,0.57253,0.169,2.68923,3.90094,0.82408,0.000534064,0.000534064,0.000534064
6,18.7669,2.40649,0.97892,0.84871,0.77469,0.61538,0.63075,0.17763,2.77113,3.58115,0.80828,0.0006307,0.0006307,0.0006307
7,21.8507,2.30521,0.94076,0.87142,0.74454,0.6278,0.63556,0.25312,2.49645,2.29902,0.79953,0.000722584,0.000722584,0.000722584
8,24.7816,2.19629,1.04219,0.76177,0.86526,0.67692,0.78348,0.27982,2.34332,2.19853,0.79999,0.000809716,0.000809716,0.000809716
9,27.9117,2.53598,1.0324,0.81103,0.75836,0.53119,0.60356,0.14542,2.91713,1.72158,0.87009,0.000892096,0.000892096,0.000892096
10,30.7819,2.47579,1.06096,0.78972,0.77514,0.63648,0.69807,0.20023,2.75419,2.29399,0.8314,0.000969724,0.000969724,0.000969724
11,33.8445,2.15995,0.9401,0.73753,0.78607,0.73846,0.74308,0.22578,2.53417,2.43023,0.81839,0.0010426,0.0010426,0.0010426
12,36.4161,2.58803,1.00397,0.80067,0.6954,0.59713,0.53688,0.12366,3.23093,3.97374,0.87817,0.00111072,0.00111072,0.00111072
13,39.3082,2.27324,0.93037,0.77977,0.76309,0.78462,0.78341,0.26023,2.51003,2.70638,0.79444,0.0011741,0.0011741,0.0011741
14,42.5749,2.30078,0.86841,0.84796,0.70523,0.69941,0.55694,0.13038,2.96618,2.68515,0.84153,0.00123272,0.00123272,0.00123272
15,45.2424,2.30192,0.9172,0.8411,0.71681,0.66154,0.59559,0.12963,3.01758,2.06683,0.84298,0.00128658,0.00128658,0.00128658
16,47.975,2.18112,0.95789,0.74929,0.82276,0.72308,0.76347,0.24322,2.57578,1.66711,0.81353,0.0013357,0.0013357,0.0013357
17,50.6976,2.43411,0.86915,0.85216,0.8329,0.76687,0.80638,0.31628,2.29483,1.32554,0.79806,0.0013664,0.0013664,0.0013664
18,53.8096,2.57925,0.92326,0.83752,0.80856,0.58479,0.73785,0.26592,2.31664,0.85629,0.79149,0.0013268,0.0013268,0.0013268
19,56.4208,2.4323,0.97629,0.8139,0.78019,0.64615,0.72549,0.20631,2.79584,1.33947,0.82154,0.0012872,0.0012872,0.0012872
20,59.4594,2.2456,0.84125,0.75899,0.89808,0.8134,0.83157,0.22303,2.88118,1.19683,0.83556,0.0012476,0.0012476,0.0012476
21,62.1645,2.13285,0.86542,0.79605,0.85261,0.712,0.79312,0.2918,2.4233,0.97586,0.80171,0.001208,0.001208,0.001208
22,64.9709,2.22866,0.8263,0.82911,0.851,0.70299,0.80416,0.27647,2.40555,1.0767,0.78094,0.0011684,0.0011684,0.0011684
23,67.719,1.89278,0.80685,0.66751,0.8093,0.72308,0.73737,0.2376,2.49,1.10276,0.78104,0.0011288,0.0011288,0.0011288
24,70.4857,2.21635,0.80821,0.72774,0.86485,0.84615,0.81477,0.25172,2.16719,1.25544,0.77482,0.0010892,0.0010892,0.0010892
25,73.0805,2.46317,0.8259,0.79426,0.87658,0.84615,0.81915,0.26794,2.0645,1.20902,0.77204,0.0010496,0.0010496,0.0010496
26,76.0877,2.21943,0.82009,0.80687,0.89101,0.75464,0.83164,0.36833,1.83309,0.84348,0.76365,0.00101,0.00101,0.00101
