epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5637,2.26787,2.79867,1.17977,0.62166,0.59818,0.62636,0.30644,1.5695,1.55342,0.93073,0.0002858,0.0002858,0.0002858
2,91.5026,1.50008,1.27353,0.91497,0.77555,0.76195,0.83674,0.47499,1.36191,1.1396,0.87713,0.000562689,0.000562689,0.000562689
3,136.285,1.43345,1.08848,0.89108,0.70771,0.69877,0.75316,0.42642,1.38396,1.13759,0.88905,0.00081581,0.00081581,0.00081581
4,179.677,1.33663,0.96365,0.88054,0.60946,0.74797,0.736,0.41533,1.47743,1.17281,0.8947,0.00104516,0.00104516,0.00104516
5,223.188,1.35685,0.85053,0.87956,0.89586,0.88534,0.9188,0.53763,1.34859,0.75384,0.88664,0.00120265,0.00120265,0.00120265
6,267.01,1.36193,0.85496,0.88438,0.92567,0.90018,0.9482,0.55545,1.33836,0.73341,0.89685,0.00114606,0.00114606,0.00114606
7,310.529,1.31285,0.78927,0.88957,0.8497,0.86112,0.92124,0.53115,1.37433,0.93667,0.8997,0.00108947,0.00108947,0.00108947
8,357.385,1.26514,0.78041,0.88519,0.87518,0.91829,0.95126,0.54097,1.41634,0.70954,0.9043,0.00103288,0.00103288,0.00103288
9,403.097,1.33407,0.76575,0.88429,0.9034,0.90803,0.949,0.57333,1.30096,0.69551,0.87859,0.000976293,0.000976293,0.000976293
10,449.315,1.27809,0.72738,0.87842,0.90987,0.8952,0.94945,0.57933,1.29131,0.71517,0.87291,0.000919704,0.000919704,0.000919704
11,495.799,1.24431,0.69032,0.87249,0.93491,0.90275,0.95974,0.57532,1.30691,0.64288,0.87344,0.000863116,0.000863116,0.000863116
12,540.375,1.26903,0.71156,0.8749,0.94513,0.9168,0.96398,0.60629,1.25359,0.62012,0.87058,0.000806528,0.000806528,0.000806528
13,585.402,1.20748,0.67573,0.87077,0.92839,0.91064,0.95291,0.58679,1.32158,0.67654,0.88263,0.000749939,0.000749939,0.000749939
14,628.493,1.19584,0.6609,0.87006,0.93748,0.91014,0.96177,0.60126,1.257,0.61047,0.86504,0.000693351,0.000693351,0.000693351
15,671.737,1.18869,0.63862,0.87058,0.9431,0.9519,0.97315,0.6125,1.25406,0.5832,0.86819,0.000636762,0.000636762,0.000636762
16,715.831,1.15487,0.62162,0.85605,0.95081,0.90035,0.96132,0.59856,1.27076,0.59047,0.87389,0.000580174,0.000580174,0.000580174
17,758.242,1.1554,0.59719,0.87563,0.95211,0.93515,0.97474,0.61803,1.23484,0.5956,0.86499,0.000523586,0.000523586,0.000523586
18,801.641,1.15628,0.61123,0.87355,0.93287,0.93395,0.96771,0.61931,1.2064,0.59018,0.85851,0.000466997,0.000466997,0.000466997
19,844.766,1.17486,0.625,0.86848,0.93669,0.9565,0.97108,0.61993,1.21975,0.57381,0.86357,0.000410409,0.000410409,0.000410409
20,892.086,1.13435,0.59824,0.88153,0.9599,0.91779,0.97091,0.6099,1.24033,0.58347,0.86503,0.00035382,0.00035382,0.00035382
21,939.49,1.12941,0.57304,0.86144,0.94721,0.92678,0.96749,0.60796,1.23751,0.59884,0.86365,0.000297232,0.000297232,0.000297232
22,986.665,1.11249,0.57621,0.85331,0.94213,0.94046,0.96279,0.60443,1.2225,0.58543,0.85909,0.000240644,0.000240644,0.000240644
23,1030.78,1.14165,0.56753,0.85164,0.96074,0.93344,0.97493,0.62356,1.19679,0.55928,0.86017,0.000184055,0.000184055,0.000184055
24,1075.94,1.08169,0.53881,0.84803,0.9524,0.9372,0.97305,0.61902,1.20931,0.55801,0.86058,0.000127467,0.000127467,0.000127467
25,1120.4,1.05518,0.52622,0.83964,0.95269,0.93613,0.97338,0.62654,1.20175,0.54966,0.85834,7.08784e-05,7.08784e-05,7.08784e-05
