epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6467,3.30588,5.00686,1.32411,0.74224,0.52899,0.59314,0.26725,1.98892,2.37604,0.89663,0.0002,0.0002,0.0002
2,46.1841,2.29966,1.48487,0.9474,0.74957,0.75362,0.76822,0.34845,1.87078,2.77486,0.86052,0.00040812,0.00040812,0.00040812
3,66.7677,2.01345,1.14694,0.89218,0.6801,0.82609,0.79875,0.35852,1.87936,4.28522,0.85306,0.000603794,0.000603794,0.000603794
4,86.2261,1.9929,1.01495,0.87503,0.81954,0.74638,0.76712,0.30975,2.27062,2.52691,0.91699,0.000787023,0.000787023,0.000787023
5,106.076,2.0261,0.96498,0.88151,0.82949,0.82609,0.83536,0.32419,2.01451,2.37201,0.86366,0.000957806,0.000957806,0.000957806
6,125.623,2.0126,0.94814,0.8639,0.92625,0.84783,0.9188,0.44208,1.78658,1.65923,0.85549,0.00111614,0.00111614,0.00111614
7,145.303,1.84672,0.8348,0.86927,0.92845,0.84628,0.91361,0.46854,1.65191,1.37859,0.84038,0.00126203,0.00126203,0.00126203
8,164.953,1.83721,0.91135,0.85484,0.93531,0.86957,0.90349,0.43944,1.88439,1.01468,0.85745,0.00139548,0.00139548,0.00139548
9,183.95,1.69228,0.78393,0.8425,0.95191,0.86069,0.90781,0.42448,1.78699,1.07036,0.85141,0.00151648,0.00151648,0.00151648
10,202.88,1.81151,0.78191,0.85734,0.93478,0.87681,0.92878,0.48112,1.75694,0.91959,0.8475,0.00149086,0.00149086,0.00149086
11,221.652,1.68322,0.73487,0.85837,0.94518,0.87464,0.91423,0.48227,1.62062,0.7647,0.83633,0.00143429,0.00143429,0.00143429
12,240.401,1.67441,0.77996,0.85251,0.9641,0.85507,0.92956,0.48345,1.65984,0.73983,0.83448,0.00137771,0.00137771,0.00137771
13,259.666,1.62553,0.75127,0.85417,0.96592,0.87681,0.93633,0.53332,1.58135,0.7387,0.82777,0.00132114,0.00132114,0.00132114
14,279.273,1.64517,0.74592,0.83617,0.95276,0.87682,0.92755,0.53883,1.60993,0.67358,0.82926,0.00126457,0.00126457,0.00126457
15,298.257,1.55943,0.72574,0.8384,0.96107,0.89446,0.95194,0.51266,1.66051,0.77343,0.8434,0.001208,0.001208,0.001208
16,316.913,1.54636,0.68988,0.82844,0.95623,0.84783,0.9363,0.6043,1.44362,0.63493,0.82553,0.00115143,0.00115143,0.00115143
17,335.526,1.58268,0.69726,0.83035,0.98131,0.86957,0.94549,0.59672,1.44726,0.64262,0.82506,0.00109486,0.00109486,0.00109486
18,354.393,1.52864,0.67118,0.81973,0.96021,0.8743,0.94362,0.57508,1.47343,0.64508,0.8172,0.00103829,0.00103829,0.00103829
19,373.46,1.47369,0.6358,0.81824,0.94817,0.9058,0.94461,0.57469,1.39645,0.61068,0.81799,0.000981714,0.000981714,0.000981714
20,392.319,1.48181,0.64271,0.82779,0.94597,0.91304,0.94797,0.58987,1.36521,0.59413,0.81268,0.000925143,0.000925143,0.000925143
21,411.13,1.3721,0.63443,0.8252,0.98065,0.86232,0.94177,0.58087,1.40077,0.59888,0.81214,0.000868571,0.000868571,0.000868571
22,429.824,1.37923,0.60314,0.83965,0.97578,0.87599,0.9466,0.57799,1.44475,0.60124,0.81535,0.000812,0.000812,0.000812
23,448.388,1.45266,0.64514,0.82816,0.99166,0.86214,0.9606,0.61282,1.34739,0.60169,0.81,0.000755429,0.000755429,0.000755429
24,467.137,1.34118,0.62004,0.82791,0.9757,0.87294,0.95475,0.63571,1.29695,0.58908,0.80793,0.000698857,0.000698857,0.000698857
25,486.298,1.37867,0.6293,0.82535,0.95352,0.89192,0.95159,0.61855,1.32191,0.61705,0.81179,0.000642286,0.000642286,0.000642286
26,505.384,1.31914,0.62475,0.8194,0.97618,0.89093,0.95062,0.61094,1.39971,0.63818,0.8171,0.000585714,0.000585714,0.000585714
27,524.392,1.27528,0.59363,0.81187,0.97859,0.88406,0.95651,0.60743,1.38645,0.59929,0.8156,0.000529143,0.000529143,0.000529143
28,543.034,1.26119,0.57403,0.8361,0.97577,0.88406,0.95157,0.63189,1.37738,0.56759,0.81218,0.000472571,0.000472571,0.000472571
29,561.204,1.25439,0.55075,0.80887,0.95373,0.89627,0.96068,0.63782,1.28019,0.53395,0.80192,0.000416,0.000416,0.000416
30,579.677,1.27548,0.55722,0.82473,0.95428,0.9058,0.94762,0.62045,1.29877,0.53586,0.80243,0.000359429,0.000359429,0.000359429
31,598.383,1.28571,0.5549,0.82046,0.97561,0.89855,0.95774,0.61452,1.31547,0.55529,0.80672,0.000302857,0.000302857,0.000302857
32,617.32,1.24506,0.54423,0.81106,0.99206,0.90487,0.95592,0.63466,1.23625,0.51911,0.80249,0.000246286,0.000246286,0.000246286
33,636.516,1.21576,0.53813,0.79894,0.98262,0.9058,0.9578,0.66131,1.18363,0.51031,0.80072,0.000189714,0.000189714,0.000189714
34,655.752,1.15428,0.51241,0.81708,0.97846,0.9058,0.96958,0.66378,1.18288,0.50706,0.80149,0.000133143,0.000133143,0.000133143
35,674.596,1.1896,0.53956,0.80682,0.97672,0.91195,0.97149,0.66166,1.21349,0.50897,0.80351,7.65714e-05,7.65714e-05,7.65714e-05
