epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.33719,3.00337,7.6687,0.92843,0.3422,0.21538,0.15571,0.04938,2.97078,4.08453,0.8699,0.0001,0.0001,0.0001
2,5.75112,2.52359,2.29537,0.83761,0.56801,0.15385,0.20714,0.05644,2.66675,3.20255,0.83226,0.00019822,0.00019822,0.00019822
3,8.15755,2.30975,1.3889,0.88099,0.86359,0.41538,0.46919,0.14659,2.46503,2.95761,0.80814,0.00027268,0.00027268,0.00027268
4,10.3211,2.13428,1.15753,0.75974,0.59921,0.52308,0.51585,0.15247,2.49737,2.88217,0.80484,0.00032338,0.00032338,0.00032338
5,12.5139,2.11768,1.06528,0.76269,0.80279,0.68894,0.7308,0.26783,2.10976,3.47645,0.7965,0.00035032,0.00035032,0.00035032
6,14.7175,2.0488,1.03899,0.80927,0.84401,0.56923,0.71452,0.2605,2.07414,2.43189,0.78155,0.0003535,0.0003535,0.0003535
7,16.9613,2.09794,0.95337,0.78128,0.69435,0.76923,0.72231,0.24113,2.45173,2.05786,0.78615,0.00033292,0.00033292,0.00033292
8,19.326,1.72835,0.83671,0.68854,0.83835,0.71817,0.78788,0.33307,2.0025,1.13444,0.77027,0.00028858,0.00028858,0.00028858
9,21.5977,2.33909,0.92932,0.84038,0.81997,0.77081,0.84497,0.36086,1.89439,1.18984,0.77206,0.00022048,0.00022048,0.00022048
10,23.6882,1.6327,0.81905,0.65831,0.87639,0.7636,0.86686,0.34643,1.92964,1.091,0.77018,0.00012862,0.00012862,0.00012862
