epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,120.879,1.86368,0.78537,0.73635,0.97785,0.67929,0.93357,0.49375,1.70848,0.78766,0.75386,0.0009176,0.0009176,0.0009176
43,122.956,1.67849,0.63565,0.7903,0.97912,0.72159,0.93123,0.48867,1.59097,0.77875,0.75349,0.0008912,0.0008912,0.0008912
44,125.064,1.74847,0.60378,0.79962,0.94354,0.77139,0.92063,0.50294,1.51704,0.69077,0.75286,0.0008648,0.0008648,0.0008648
45,127.459,1.55234,0.6553,0.7806,0.94258,0.75769,0.92124,0.49245,1.5192,0.69468,0.75371,0.0008384,0.0008384,0.0008384
46,129.515,1.6866,0.69108,0.70742,0.96201,0.77932,0.92836,0.46867,1.70411,0.72955,0.75627,0.000812,0.000812,0.000812
47,131.599,1.73209,0.77322,0.72754,0.9602,0.74234,0.92503,0.47952,1.62048,0.67758,0.75619,0.0007856,0.0007856,0.0007856
48,134.781,1.93824,0.84149,0.72373,0.95117,0.59937,0.92162,0.47249,1.68893,0.6754,0.75665,0.0007592,0.0007592,0.0007592
49,136.768,1.82935,0.73735,0.78346,0.977,0.65374,0.92721,0.48553,1.59063,0.7029,0.75411,0.0007328,0.0007328,0.0007328
50,138.853,1.4552,0.6739,0.65753,0.95977,0.73411,0.93028,0.49884,1.52491,0.7165,0.75583,0.0007064,0.0007064,0.0007064
51,141.564,1.591,0.6618,0.77817,0.95991,0.73678,0.9328,0.45968,1.69093,0.70325,0.75967,0.00068,0.00068,0.00068
52,145.011,1.67991,0.65958,0.77618,0.96266,0.79323,0.92789,0.47476,1.57653,0.62116,0.7565,0.0006536,0.0006536,0.0006536
53,147.036,1.66679,0.67494,0.74335,0.6849,0.93846,0.9216,0.49705,1.4433,0.58413,0.75491,0.0006272,0.0006272,0.0006272
54,149.135,1.73222,0.6021,0.78287,0.61616,0.93846,0.91796,0.49934,1.48747,0.58688,0.75442,0.0006008,0.0006008,0.0006008
55,151.93,1.73789,0.62621,0.80049,0.62245,0.93846,0.919,0.49713,1.50836,0.58211,0.75424,0.0005744,0.0005744,0.0005744
56,154.609,1.67169,0.73719,0.79273,0.61386,0.95385,0.94373,0.48987,1.52555,0.59655,0.75519,0.000548,0.000548,0.000548
57,157.159,1.4898,0.62128,0.79281,0.96346,0.81134,0.93669,0.47885,1.61168,0.63896,0.75619,0.0005216,0.0005216,0.0005216
58,159.285,1.69092,0.57232,0.80131,0.9803,0.76572,0.94312,0.49882,1.56256,0.72104,0.75497,0.0004952,0.0004952,0.0004952
59,161.239,1.52699,0.57017,0.77103,0.98019,0.76111,0.94187,0.51883,1.46571,0.70837,0.75334,0.0004688,0.0004688,0.0004688
60,164.883,1.57608,0.58174,0.80394,0.98002,0.75467,0.94143,0.54641,1.4051,0.68172,0.75096,0.0004424,0.0004424,0.0004424
61,166.931,1.55549,0.63159,0.79985,0.97956,0.73749,0.94318,0.54326,1.50645,0.70916,0.75176,0.000416,0.000416,0.000416
62,168.928,1.56429,0.64579,0.79994,0.98239,0.85831,0.94527,0.50307,1.74567,0.82011,0.75518,0.0003896,0.0003896,0.0003896
63,171.053,1.55767,0.60543,0.76027,0.97056,0.78462,0.94227,0.50159,1.75556,0.78586,0.75589,0.0003632,0.0003632,0.0003632
64,174.718,1.85381,0.63929,0.77227,0.90672,0.8973,0.93438,0.56218,1.49361,0.61921,0.75258,0.0003368,0.0003368,0.0003368
65,178.253,1.25674,0.7559,0.65019,0.62245,0.93846,0.92905,0.56203,1.40623,0.57296,0.75232,0.0003104,0.0003104,0.0003104
66,180.903,1.54159,0.70003,0.76931,0.93158,0.83794,0.92157,0.57022,1.30721,0.54415,0.75207,0.000284,0.000284,0.000284
67,183.468,1.49766,0.89626,0.64821,0.92826,0.79631,0.9212,0.5655,1.30714,0.56827,0.75218,0.0002576,0.0002576,0.0002576
68,186.332,1.25204,0.63878,0.6394,0.97601,0.62602,0.92258,0.53222,1.39829,0.63136,0.75308,0.0002312,0.0002312,0.0002312
69,189.357,1.27034,0.55086,0.64272,0.97786,0.67939,0.92051,0.52566,1.42307,0.64997,0.75344,0.0002048,0.0002048,0.0002048
70,192.01,1.44027,0.55911,0.66289,0.94242,0.75541,0.90924,0.54022,1.3828,0.6383,0.75161,0.0001784,0.0001784,0.0001784
71,194.103,1.47233,0.62391,0.7658,0.9257,0.76679,0.9043,0.5368,1.37981,0.64304,0.75086,0.000152,0.000152,0.000152
72,196.983,1.46237,0.55853,0.80413,0.54464,0.93846,0.89422,0.53418,1.39468,0.65195,0.75046,0.0001256,0.0001256,0.0001256
73,199.652,1.16831,0.50018,0.64548,0.54464,0.93846,0.89242,0.53895,1.39534,0.66079,0.75024,9.92e-05,9.92e-05,9.92e-05
74,202.106,1.27319,0.68936,0.75884,0.55455,0.93846,0.89768,0.5358,1.388,0.65329,0.75019,7.28e-05,7.28e-05,7.28e-05
75,205.57,1.39918,0.56532,0.69107,0.54955,0.93846,0.90155,0.53634,1.37491,0.64896,0.75004,4.64e-05,4.64e-05,4.64e-05
